data,curs
2022-03-15,115.1963
2022-03-12,116.7517
2022-03-11,120.3785
2022-03-10,116.0847
2022-03-06,105.8124
2022-03-05,105.8124
2022-03-04,111.7564
2022-03-03,103.2487
2022-03-02,91.7457
2022-03-01,93.5589
2022-02-26,83.5485
2022-02-25,86.9288
2022-02-23,80.4194
2022-02-22,76.7671
2022-02-19,75.7619
2022-02-18,75.7527
2022-02-17,75.0141
2022-02-16,76.166
2022-02-15,76.5762
2022-02-12,74.9867
2022-02-11,74.7241
2022-02-10,74.8015
2022-02-09,75.3042
2022-02-08,75.6806
2022-02-05,76.0509
2022-02-04,76.6501
2022-02-03,76.4849
2022-02-02,77.1302
2022-02-01,77.4702
2022-01-29,77.8174
2022-01-28,78.947
2022-01-27,78.9437
2022-01-26,78.6422
2022-01-25,77.3649
2022-01-22,76.6903
2022-01-21,76.4408
2022-01-20,76.8697
2022-01-19,76.3347
2022-01-18,76.0404
2022-01-15,75.7668
2022-01-14,74.5686
2022-01-13,74.5277
2022-01-12,74.8355
2022-01-11,75.1315
2021-12-31,74.2926
2021-12-30,73.6514
2021-12-29,73.4959
2021-12-28,73.2329
2021-12-25,73.1886
2021-12-24,73.3583
2021-12-23,73.7901
2021-12-22,73.8206
2021-12-21,74.2947
2021-12-18,73.733
2021-12-17,73.5708
2021-12-16,73.851
2021-12-15,73.4698
2021-12-14,73.4107
2021-12-11,73.6059
2021-12-10,73.5998
2021-12-09,73.8453
2021-12-08,74.1399
2021-12-07,73.6694
2021-12-04,73.7426
2021-12-03,74.0637
2021-12-02,73.9746
2021-12-01,74.8926
2021-11-30,74.9818
2021-11-27,75.5873
2021-11-26,74.6004
2021-11-25,74.3726
2021-11-24,74.8327
2021-11-23,73.4506
2021-11-20,72.7617
2021-11-19,72.6022
2021-11-18,72.8228
2021-11-17,72.5553
2021-11-16,72.2724
2021-11-13,71.8118
2021-11-12,71.1964
2021-11-11,70.695
2021-11-10,71.2866
2021-11-09,71.3975
2021-11-04,71.4876
2021-11-03,71.4783
2021-11-02,71.0863
2021-10-30,70.52
2021-10-29,70.5207
2021-10-28,69.8104
2021-10-27,69.5526
2021-10-26,70.1345
2021-10-23,70.8623
2021-10-22,70.9904
2021-10-21,71.0555
2021-10-20,70.9674
2021-10-19,71.1714
2021-10-16,71.2371
2021-10-15,71.7846
2021-10-14,71.8577
2021-10-13,71.8801
2021-10-12,71.6373
2021-10-09,71.9882
2021-10-08,72.2854
2021-10-07,72.5682
2021-10-06,72.5686
2021-10-05,72.9239
2021-10-02,72.9215
2021-10-01,72.6642
2021-09-30,72.7608
2021-09-29,72.5083
2021-09-28,72.6613
2021-09-25,73.0081
2021-09-24,72.7245
2021-09-23,72.8806
2021-09-22,73.2067
2021-09-21,73.3315
2021-09-18,72.5602
2021-09-17,72.4329
2021-09-16,72.852
2021-09-15,72.7171
2021-09-14,73.0841
2021-09-11,72.76
2021-09-10,73.129
2021-09-09,73.4421
2021-09-08,73.1909
2021-09-07,72.9538
2021-09-04,72.8545
2021-09-03,72.8491
2021-09-02,73.1912
2021-09-01,73.2781
2021-08-31,73.5744
2021-08-28,73.9866
2021-08-27,73.9908
2021-08-26,73.7428
2021-08-25,73.9465
2021-08-24,74.0666
2021-08-21,74.364
2021-08-20,74.1503
2021-08-19,73.4633
2021-08-18,73.4753
2021-08-17,73.392
2021-08-14,73.4721
2021-08-13,73.5671
2021-08-12,73.9695
2021-08-11,73.5962
2021-08-10,73.5078
2021-08-07,73.1304
2021-08-06,73.168
2021-08-05,72.7857
2021-08-04,72.8724
2021-08-03,73.0156
2021-07-31,73.1388
2021-07-30,73.1904
2021-07-29,73.6088
2021-07-28,73.8471
2021-07-27,74.098
2021-07-24,73.7663
2021-07-23,73.6945
2021-07-22,74.4947
2021-07-21,74.491
2021-07-20,74.3463
2021-07-17,74.1656
2021-07-16,74.2197
2021-07-15,74.1236
2021-07-14,74.0589
2021-07-13,74.6336
2021-07-10,74.4675
2021-07-09,75.1952
2021-07-08,74.058
2021-07-07,73.266
2021-07-06,73.354
2021-07-03,73.6175
2021-07-02,72.9086
2021-07-01,72.7234
2021-06-30,72.3723
2021-06-29,72.1777
2021-06-26,72.1694
2021-06-25,72.326
2021-06-24,72.6671
2021-06-23,73.1661
2021-06-22,73.1987
2021-06-19,72.2216
2021-06-18,72.5048
2021-06-17,72.0323
2021-06-16,71.8318
2021-06-12,71.6797
2021-06-11,72.1974
2021-06-10,72.0829
2021-06-09,72.8256
2021-06-08,72.9294
2021-06-05,73.2721
2021-06-04,73.2636
2021-06-03,73.4979
2021-06-02,73.2411
2021-06-01,73.2965
2021-05-29,73.587
2021-05-28,73.458
2021-05-27,73.4737
2021-05-26,73.3963
2021-05-25,73.5266
2021-05-22,73.5803
2021-05-21,73.6007
2021-05-20,73.6778
2021-05-19,73.6992
2021-05-18,73.8537
2021-05-15,73.9968
2021-05-14,74.3566
2021-05-13,74.04
2021-05-12,74.1567
2021-05-08,74.1373
2021-05-07,74.577
2021-05-06,74.8617
2021-05-05,75.2567
2021-05-01,74.8451
2021-04-30,74.3823
2021-04-29,74.939
2021-04-28,74.9578
2021-04-27,74.768
2021-04-24,75.0893
2021-04-23,76.4217
2021-04-22,76.8198
2021-04-21,76.0155
2021-04-20,76.2491
2021-04-17,75.5535
2021-04-16,76.9808
2021-04-15,75.6826
2021-04-14,77.2535
2021-04-13,77.5104
2021-04-10,77.1657
2021-04-09,77.1011
2021-04-08,77.773
2021-04-07,76.3802
2021-04-06,76.6052
2021-04-03,76.0734
2021-04-02,75.8073
2021-04-01,75.6373
2021-03-31,75.7023
2021-03-30,75.8287
2021-03-27,75.7576
2021-03-26,76.1741
2021-03-25,76.1535
2021-03-24,75.3585
2021-03-23,74.6085
2021-03-20,74.139
2021-03-19,73.6582
2021-03-18,73.1019
2021-03-17,72.9619
2021-03-16,73.2317
2021-03-13,73.5081
2021-03-12,73.4996
2021-03-11,74.0393
2021-03-10,74.264
2021-03-06,74.4275
2021-03-05,73.7864
2021-03-04,73.5187
2021-03-03,74.5755
2021-03-02,74.0448
2021-02-27,74.4373
2021-02-26,73.4747
2021-02-25,73.7532
2021-02-21,73.9833
2021-02-20,73.9717
2021-02-19,73.7755
2021-02-18,73.7669
2021-02-17,73.2895
2021-02-16,73.3092
2021-02-13,73.9378
2021-02-12,73.7579
2021-02-11,73.8526
2021-02-10,74.1192
2021-02-09,74.2602
2021-02-06,75.1107
2021-02-05,75.7293
2021-02-04,76.0801
2021-02-03,75.9051
2021-02-02,75.5053
2021-01-30,76.2527
2021-01-29,76.1854
2021-01-28,75.04
2021-01-27,75.6354
2021-01-26,74.8569
2021-01-23,74.3615
2021-01-22,73.3694
2021-01-21,73.355
2021-01-20,73.7243
2021-01-19,73.9735
2021-01-16,73.5453
2021-01-15,73.7961
2021-01-14,73.5264
2021-01-13,74.2663
2021-01-12,74.5157
2021-01-01,73.8757
