date,value
2021-10-16,82.7276
2021-10-15,83.3347
2021-10-14,83.0028
2021-10-13,83.0934
2021-10-12,82.9273
2021-10-09,83.1248
2021-10-08,83.6053
2021-10-07,83.9251
2021-10-06,84.1723
2021-10-05,84.6355
2021-10-02,84.4577
2021-10-01,84.305
2021-09-30,84.8755
2021-09-29,84.6752
2021-09-28,85.0355
2021-09-25,85.6823
2021-09-24,85.204
2021-09-23,85.4889
2021-09-22,85.8568
2021-09-21,85.8785
2021-09-18,85.4614
2021-09-17,85.3622
2021-09-16,86.0674
2021-09-15,85.988
2021-09-14,86.115
2021-09-11,86.1478
2021-09-10,86.4677
2021-09-09,86.9114
2021-09-08,86.8922
2021-09-07,86.5743
2021-09-04,86.5366
2021-09-03,86.297
2021-09-02,86.3949
2021-09-01,86.666
2021-08-31,86.8104
2021-08-28,87.0304
2021-08-27,87.0576
2021-08-26,86.5814
2021-08-25,86.8058
2021-08-24,86.7838
2021-08-21,86.8646
2021-08-20,86.615
2021-08-19,86.121
2021-08-18,86.4804
2021-08-17,86.5072
2021-08-14,86.2195
2021-08-13,86.3457
2021-08-12,86.6257
2021-08-11,86.3578
2021-08-10,86.4378
2021-08-07,86.4621
2021-08-06,86.6529
2021-08-05,86.4112
2021-08-04,86.5578
2021-08-03,86.7717
2021-07-31,86.9913
2021-07-30,86.8624
2021-07-29,86.9173
2021-07-28,86.9919
2021-07-27,87.3171
2021-07-24,86.8451
2021-07-23,86.9227
2021-07-22,87.5983
2021-07-21,87.7727
2021-07-20,87.6097
2021-07-17,87.5673
2021-07-16,87.8316
2021-07-15,87.3917
2021-07-14,87.782
2021-07-13,88.605
2021-07-10,88.1397
2021-07-09,88.7755
2021-07-08,87.5588
2021-07-07,87.0034
2021-07-06,87.0272
2021-07-03,87.0748
2021-07-02,86.4113
2021-07-01,86.5118
2021-06-30,86.2026
2021-06-29,86.1657
2021-06-26,86.1919
2021-06-25,86.3283
2021-06-24,86.7137
2021-06-23,87.0677
2021-06-22,86.8942
2021-06-19,85.9943
2021-06-18,86.7012
2021-06-17,87.3536
2021-06-16,87.211
2021-06-12,87.3274
2021-06-11,87.8065
2021-06-10,87.8114
2021-06-09,88.6433
2021-06-08,88.653
2021-06-05,88.7545
2021-06-04,89.2644
2021-06-03,89.6895
2021-06-02,89.5958
2021-06-01,89.3778
2021-05-29,89.6731
2021-05-28,89.6555
2021-05-27,89.9392
2021-05-26,89.9545
2021-05-25,89.6877
2021-05-22,89.9446
2021-05-21,89.7708
2021-05-20,90.1006
2021-05-19,89.9057
2021-05-18,89.6584
2021-05-15,89.6249
2021-05-14,89.9343
2021-05-13,89.8475
2021-05-12,90.004
2021-05-08,89.506
2021-05-07,89.6788
2021-05-06,89.7742
2021-05-05,90.451
2021-05-01,90.585
